상품코드,브랜드명,상품명,카테고리,가격,성별,리뷰내용,옵션,키,몸무게,배송,포장,사이즈,밝기,색감,두께감,보온성,무게감,발색력,지속력,수분감,수납공간
1176328,MUSINSA STANDARD,와이드 코듀로이 팬츠 [라이트 베이지],바지,"47,900",남,가성비 좋은 바지네요일단 두께감도 엄청 두껍지도 않고적당해서 딱 좋습니다 ㅎㅎ 색감도 너무 괜찮아요~,27,168,58,-,-,보통이에요,보통이에요,보통이에요,보통이에요,-,-,-,-,-,-
1176328,MUSINSA STANDARD,와이드 코듀로이 팬츠 [라이트 베이지],바지,"47,900",남,와이드 핏이라 넉넉해서 편하고 색상도 연한 색이라 이뻐요,30,170,70,-,-,보통이에요,보통이에요,보통이에요,보통이에요,-,-,-,-,-,-
1176328,MUSINSA STANDARD,와이드 코듀로이 팬츠 [라이트 베이지],바지,"47,900",남,생각보다 맘에 들어요. 무탠다드는 실패가 없는거 같네요. 허리33했는데 딱 좋아요,33,189,79,-,-,커요,보통이에요,보통이에요,보통이에요,-,-,-,-,-,-
1176328,MUSINSA STANDARD,와이드 코듀로이 팬츠 [라이트 베이지],바지,"47,900",남,기장이 좀 길어서 수선해서 입으니 좋네요옷 예뻐요~,34,173,73,-,-,보통이에요,보통이에요,보통이에요,보통이에요,-,-,-,-,-,-
1176328,MUSINSA STANDARD,와이드 코듀로이 팬츠 [라이트 베이지],바지,"47,900",여,코듀로이 팬츠 사고 싶었는데 가격도 착하고 기장도 핏도 딱 적당합니다!,29,171,57,-,-,보통이에요,보통이에요,보통이에요,보통이에요,-,-,-,-,-,-
1176328,MUSINSA STANDARD,와이드 코듀로이 팬츠 [라이트 베이지],바지,"47,900",남,핏도좋고 크기도적당해서 딱좋습니다 사계절입기좋아요,33,183,79,-,-,보통이에요,보통이에요,보통이에요,보통이에요,-,-,-,-,-,-
1176328,MUSINSA STANDARD,와이드 코듀로이 팬츠 [라이트 베이지],바지,"47,900",남,데일리로 입기 너무 좋아요 적당한 딱 제가찾던 와이드,30,178,75,-,-,보통이에요,보통이에요,보통이에요,보통이에요,-,-,-,-,-,-
1176328,MUSINSA STANDARD,와이드 코듀로이 팬츠 [라이트 베이지],바지,"47,900",-,원래 옷 같은 거 잘 못 입는 편인데 친구 추천으로 구매 했다가 바지 잘 샀다고 칭찬 받았어요!!,28,0,0,-,-,커요,보통이에요,보통이에요,보통이에요,-,-,-,-,-,-
1176328,MUSINSA STANDARD,와이드 코듀로이 팬츠 [라이트 베이지],바지,"47,900",남,역시 무탠다드 가성비는 너무 좋지용 믿고 사세요,29,171,64,-,-,보통이에요,보통이에요,보통이에요,보통이에요,-,-,-,-,-,-
1176328,MUSINSA STANDARD,와이드 코듀로이 팬츠 [라이트 베이지],바지,"47,900",남,무난하고 너무 좋아요 근데 좀 얇아염 ㅠ 두꺼웟으면 좋게써,33,183,81,-,-,보통이에요,보통이에요,보통이에요,보통이에요,-,-,-,-,-,-
