상품코드,브랜드명,상품명,카테고리,가격,성별,리뷰내용,옵션,키,몸무게,배송,포장,사이즈,밝기,색감,두께감,보온성,무게감,발색력,지속력,수분감,수납공간
2050094,MUSINSA STANDARD,베이식 크루 넥 반팔 티셔츠 2팩,상의,"27,800",-,무신사에서 사면 옷이든 잡화든 웬만해서 다 마음에 듭니다. 그러나 너무 얇고 목이 바로 늘어남.,01. 화이트/블랙/L,0,0,-,-,보통이에요,보통이에요,보통이에요,보통이에요,-,-,-,-,-,-
2050094,MUSINSA STANDARD,베이식 크루 넥 반팔 티셔츠 2팩,상의,"27,800",-,기본 무지티인데 목이 좀 늘어나는편이라 위에 뭐 걸치긴 애매하네요,01. 화이트/블랙/XL,0,0,-,-,보통이에요,보통이에요,보통이에요,보통이에요,-,-,-,-,-,-
2050094,MUSINSA STANDARD,베이식 크루 넥 반팔 티셔츠 2팩,상의,"27,800",남,너무 얇지도 않고 적당한 두께감이라 데일리템으로 딱이네요,01. 화이트/블랙/L,170,80,-,-,보통이에요,보통이에요,보통이에요,보통이에요,-,-,-,-,-,-
2050094,MUSINSA STANDARD,베이식 크루 넥 반팔 티셔츠 2팩,상의,"27,800",남,티셔츠 짱짱하니 괜찮습니다 안에 입기 편하네요~,03. 블랙/블랙/L,182,81,-,-,보통이에요,보통이에요,보통이에요,보통이에요,-,-,-,-,-,-
2050094,MUSINSA STANDARD,베이식 크루 넥 반팔 티셔츠 2팩,상의,"27,800",여,사이즈 딱 맨투맨 안에 레이어드하기 좋은 사이즈 입니다. 질은 너무 만족해요 냄새도 안나고 꾸겨져 오지도 않았어요. 흰색 또 살까봐요,01. 화이트/블랙/M,156,58,-,-,보통이에요,보통이에요,보통이에요,보통이에요,-,-,-,-,-,-
2050094,MUSINSA STANDARD,베이식 크루 넥 반팔 티셔츠 2팩,상의,"27,800",남,사이즈 잘 맞고핏 괜찮고깔끔해요이너티로 활용 가능하고단독으로도 입어도 괜찮아요,02. 화이트/화이트/M,173,71,빨라요,꼼꼼해요,보통이에요,보통이에요,보통이에요,보통이에요,-,-,-,-,-,-
2050094,MUSINSA STANDARD,베이식 크루 넥 반팔 티셔츠 2팩,상의,"27,800",남,세일할때 잘샀네요ㅎㅎ레이어드로 입으면 좋겠네요.흰색도사고 검정색도 샀습니다.흰색보단 저는 검은색이 더 질이 좋은거같습니다.목늘어남도 많이 없을것 같습니다.잘입을께요 !,03. 블랙/블랙/S,163,52,빨라요,꼼꼼해요,보통이에요,보통이에요,보통이에요,보통이에요,-,-,-,-,-,-
2050094,MUSINSA STANDARD,베이식 크루 넥 반팔 티셔츠 2팩,상의,"27,800",남,세일할때 잘샀네요ㅎㅎ레이어드로 입으면 좋겠네요.그냥 일반 흰 반팔 티셔츠입니다.큰 기대는 하지마세요.,02. 화이트/화이트/S,163,52,빨라요,꼼꼼해요,보통이에요,보통이에요,보통이에요,보통이에요,-,-,-,-,-,-
2050094,MUSINSA STANDARD,베이식 크루 넥 반팔 티셔츠 2팩,상의,"27,800",남,사이즈는 보통이에요 혹시 건조기 돌리실거같으면 좀 더 크게입으셔도 될듯 히니요,03. 블랙/블랙/2XL,178,87,빨라요,꼼꼼해요,보통이에요,보통이에요,선명해요,보통이에요,-,-,-,-,-,-
2050094,MUSINSA STANDARD,베이식 크루 넥 반팔 티셔츠 2팩,상의,"27,800",남,"좋아요, 디자인 이쁘고 옷 내구성도 괜찮아 보여요.",01. 화이트/블랙/M,167,55,빨라요,꼼꼼해요,보통이에요,보통이에요,보통이에요,보통이에요,-,-,-,-,-,-
2050094,MUSINSA STANDARD,베이식 크루 넥 반팔 티셔츠 2팩,상의,"27,800",남,무신사 스탠다드 브랜드 재질이 좋아서 이번 베이식티 구매해봤는데 가격도 저렴하고 팔길이 어깨넓이 다 적당하고 좋은거같아요,01. 화이트/블랙/XL,183,73,빨라요,꼼꼼해요,보통이에요,보통이에요,선명해요,보통이에요,-,-,-,-,-,-
2050094,MUSINSA STANDARD,베이식 크루 넥 반팔 티셔츠 2팩,상의,"27,800",남,가장 무난한 기본템입니다. 기장이 너무 짧지도 않고 길지도 않는 적당한 베이식 제품입니다.,02. 화이트/화이트/M,172,64,빨라요,꼼꼼해요,보통이에요,보통이에요,보통이에요,보통이에요,-,-,-,-,-,-
2050094,MUSINSA STANDARD,베이식 크루 넥 반팔 티셔츠 2팩,상의,"27,800",남,핏이나 재질이 매우 무난해서 여기저기 활용하기 좋을 거 같아요. 단품으로 입기에는 약간 얇은 감이 있습니다,02. 화이트/화이트/L,178,70,빨라요,꼼꼼해요,보통이에요,보통이에요,보통이에요,얇아요,-,-,-,-,-,-
2050094,MUSINSA STANDARD,베이식 크루 넥 반팔 티셔츠 2팩,상의,"27,800",남,재질도 괜찮고 가격도 괜찮은데 생각보다 어깨 부분이 좀 작아서 어깨 위로 봉제가 애매하게 뜹니다. 그래서 어깨가 좁아보인다는 단점이 있습니다. 최소 한 사이즈 업 추천드려요,01. 화이트/블랙/XL,180,76,빨라요,꼼꼼해요,보통이에요,보통이에요,보통이에요,보통이에요,-,-,-,-,-,-
