상품코드,브랜드명,상품명,가격,성별,리뷰내용,옵션,키,몸무게,배송,포장,사이즈,밝기,색감,두께감,보온성,무게감,발색력,지속력,수분감,수납공간
3000006,D.XO.H,봄여름용 스트릿 로고 롱 와이드 팬츠 블랙,"77,000",-,바지 넘 예뻐서 맘에 들어요~여유있는 핏에 바지 하나로 힙해 보이네요~,2,0,0,빨라요,꼼꼼해요,보통이에요,보통이에요,보통이에요,보통이에요,-,-,-,-,-,-
3000006,D.XO.H,봄여름용 스트릿 로고 롱 와이드 팬츠 블랙,"77,000",여,남자친구가 사줬는데 진짜 마음에 드러요ㅠㅠ 기분이 째져요,1,168,57,빨라요,꼼꼼해요,보통이에요,보통이에요,보통이에요,보통이에요,-,-,-,-,-,-
3000006,D.XO.H,봄여름용 스트릿 로고 롱 와이드 팬츠 블랙,"77,000",여,예쁘고 좋아요 만족~ 백만스물두개 잘 입고 다녀요ㅔ,2,160,50,빨라요,꼼꼼해요,보통이에요,보통이에요,선명해요,보통이에요,-,-,-,-,-,-
3000006,D.XO.H,봄여름용 스트릿 로고 롱 와이드 팬츠 블랙,"77,000",여,1이랑 2 중간 사이즈 없는게 아쉬워요 ㅠ 좀 길게 입고 싶은데 1은 살짝 짧은 느낌 글고 여름바지라 무릎이 금방 나와요 근데 디자인 힙해서 자주 입음 허리도 조이지 않아서 좋아요,1,163,55,빨라요,꼼꼼해요,보통이에요,보통이에요,보통이에요,보통이에요,-,-,-,-,-,-
3000006,D.XO.H,봄여름용 스트릿 로고 롱 와이드 팬츠 블랙,"77,000",여,예쁜데... 진짜 예쁜데... 재질이 넘 아수워서 추천 안 하고 시픔 오래 입을 수 있는 거 상관없이 디자인만 보고 7만원 쓸 수 있으면 추천함 🥹🥹,2,169,59,빨라요,꼼꼼해요,보통이에요,보통이에요,보통이에요,얇아요,-,-,-,-,-,-
3000008,D.XO.H,봄여름용 스트릿 로고 롱 와이드 팬츠 그레이,"77,000",여,저번에 사고 너무 만족해서 하나 더 재구매합니다가볍고 핏이 딱 잘맞아서 좋아요! 길이랑짐색같은 백도 같이 담아주셔서 유용하게쓰고있어요~,1,158,44,빨라요,꼼꼼해요,보통이에요,보통이에요,보통이에요,보통이에요,-,-,-,-,-,-
3000008,D.XO.H,봄여름용 스트릿 로고 롱 와이드 팬츠 그레이,"77,000",여,완전 오버핏이라 이쁘네용 그리고 생각보다 얇아서 봄-초여름에도 잘 입을것 같아요,1,160,48,빨라요,꼼꼼해요,커요,밝아요,선명해요,얇아요,-,-,-,-,-,-
3000008,D.XO.H,봄여름용 스트릿 로고 롱 와이드 팬츠 그레이,"77,000",-,얇아서 여름이나 좀 더울때도 입을 수 있겠고 봄가을도 다 좋아요  핏 너므 이쁨 167에 52  딱 좋았어요,1,0,0,빨라요,꼼꼼해요,보통이에요,보통이에요,보통이에요,얇아요,-,-,-,-,-,-
3000008,D.XO.H,봄여름용 스트릿 로고 롱 와이드 팬츠 그레이,"77,000",여,가격이 조금 비싼것같은데 맘에들어요 얇아서 여름용,2,168,50,빨라요,꼼꼼해요,보통이에요,보통이에요,보통이에요,얇아요,-,-,-,-,-,-
3000008,D.XO.H,봄여름용 스트릿 로고 롱 와이드 팬츠 그레이,"77,000",-,생각보다 더 얇아요 겨울엔 못입을거같고 핏은 그냥그래요 편하게 입기 좋은거같아요,1,0,0,빨라요,꼼꼼해요,보통이에요,보통이에요,보통이에요,얇아요,-,-,-,-,-,-
3000008,D.XO.H,봄여름용 스트릿 로고 롱 와이드 팬츠 그레이,"77,000",-,핏 너무 완벽해서 다른 색상도 구매하려구요 짱예쁨 !!,1,0,0,빨라요,꼼꼼해요,보통이에요,보통이에요,보통이에요,보통이에요,-,-,-,-,-,-
3000008,D.XO.H,봄여름용 스트릿 로고 롱 와이드 팬츠 그레이,"77,000",-,조금크지만 바지핏 이뻐요~검정도 구매했습ㄴ다.두께도 좋고요ㅎ,2,0,0,빨라요,꼼꼼해요,커요,보통이에요,보통이에요,얇아요,-,-,-,-,-,-
3000008,D.XO.H,봄여름용 스트릿 로고 롱 와이드 팬츠 그레이,"77,000",-,얇아서 여름이나 좀 더울때도 입을 수 있겠고 봄가을도 다 좋아요  핏 너므 이쁨 167에 52  딱 좋았어요,1,0,0,빨라요,꼼꼼해요,보통이에요,보통이에요,보통이에요,얇아요,-,-,-,-,-,-
3000008,D.XO.H,봄여름용 스트릿 로고 롱 와이드 팬츠 그레이,"77,000",여,배송도 빨랐고 디자인 너무 마음에 듭니다 다른 색으로 재구매 의사 있어요!,2,167,58,빨라요,꼼꼼해요,보통이에요,보통이에요,보통이에요,보통이에요,-,-,-,-,-,-
3000008,D.XO.H,봄여름용 스트릿 로고 롱 와이드 팬츠 그레이,"77,000",여,봄 여름용이라 확실히 얇지만 너무 예쁘고 생각보다 길이가 긴데 밑에 시보리가 있어서 잘 잡아줘서 좋아요!!,2,167,67,빨라요,꼼꼼해요,커요,보통이에요,보통이에요,얇아요,-,-,-,-,-,-
3000008,D.XO.H,봄여름용 스트릿 로고 롱 와이드 팬츠 그레이,"77,000",여,아주좋아요 편하구요~ 포인트도 잘됩니다~~겟하세요~~!!,2,165,60,빨라요,꼼꼼해요,보통이에요,보통이에요,보통이에요,보통이에요,-,-,-,-,-,-
3000008,D.XO.H,봄여름용 스트릿 로고 롱 와이드 팬츠 그레이,"77,000",여,저번에 사고 너무 만족해서 하나 더 재구매합니다가볍고 핏이 딱 잘맞아서 좋아요! 길이랑짐색같은 백도 같이 담아주셔서 유용하게쓰고있어요~,1,158,44,빨라요,꼼꼼해요,보통이에요,보통이에요,보통이에요,보통이에요,-,-,-,-,-,-
3000008,D.XO.H,봄여름용 스트릿 로고 롱 와이드 팬츠 그레이,"77,000",여,핏도 너무 예쁘고 디자인도 예쁜데 사이즈가 너무 커서 동생한테 토스하고 작은 사이즈로 다시 사려구요,2,170,58,빨라요,꼼꼼해요,커요,보통이에요,보통이에요,보통이에요,-,-,-,-,-,-
3000008,D.XO.H,봄여름용 스트릿 로고 롱 와이드 팬츠 그레이,"77,000",여,바지 소재가 부드럽고 배송이 빨라서 좋았고 색감도 화면과 같아서 좋았습니다.,2,160,65,빨라요,꼼꼼해요,보통이에요,보통이에요,선명해요,얇아요,-,-,-,-,-,-
3000008,D.XO.H,봄여름용 스트릿 로고 롱 와이드 팬츠 그레이,"77,000",여,여름에 입고 활동하기 편하고 좋아요핏도 예뻐요~~,2,169,55,빨라요,꼼꼼해요,보통이에요,보통이에요,보통이에요,보통이에요,-,-,-,-,-,-
3000008,D.XO.H,봄여름용 스트릿 로고 롱 와이드 팬츠 그레이,"77,000",여,생각보다 얇아서 봄~초여름에도 입을 수 있을 것 같아요 되게 와이드 해서 힙하게 입을 수 있을 것 같아요,1,160,48,빨라요,꼼꼼해요,커요,밝아요,선명해요,얇아요,-,-,-,-,-,-
3000008,D.XO.H,봄여름용 스트릿 로고 롱 와이드 팬츠 그레이,"77,000",여,봄 여름에 입기에 나쁘지도 않고 핏도 나름 괜찮게 나오는거 같아요,1,158,48,빨라요,꼼꼼해요,보통이에요,보통이에요,보통이에요,보통이에요,-,-,-,-,-,-
3000008,D.XO.H,봄여름용 스트릿 로고 롱 와이드 팬츠 그레이,"77,000",여,얇습니다 얇은데 쭉 쳐지는 느낌없이 제대로된 조거팬츠 핏나옵니다 여름에 두꺼운 조거팬츠 입지 않아도돼서 행복해요 여기 바지 더 쟁일 예정,2,168,50,빨라요,꼼꼼해요,보통이에요,보통이에요,보통이에요,얇아요,-,-,-,-,-,-
3000008,D.XO.H,봄여름용 스트릿 로고 롱 와이드 팬츠 그레이,"77,000",여,디자인도 마음에 들고 이뻐요 근데 너무너무 얇아요..,1,166,46,빨라요,꼼꼼해요,보통이에요,보통이에요,보통이에요,얇아요,-,-,-,-,-,-
3000028,D.XO.H,스트라이프 택로고 나시 블랙/화이트,"41,000",여,진짜 이뻐요 ㅠㅠ 근데 널널해서 신경이 쓰이긴 합니다,FREE,161,45,빨라요,꼼꼼해요,보통이에요,보통이에요,보통이에요,보통이에요,-,-,-,-,-,-
